epoch,train_loss,val_loss
0,0.632026,0.345180
1,0.293000,0.301308
2,0.241378,0.257200
3,0.210407,0.226062
4,0.195587,0.194185
5,0.180712,0.190963
6,0.171906,0.181031
7,0.167369,0.192421
8,0.153224,0.159576
9,0.147346,0.148324
10,0.141472,0.137064
11,0.133867,0.147220
12,0.132614,0.146550
13,0.127963,0.154930
14,0.125463,0.133374
15,0.122596,0.150355
16,0.114638,0.127727
17,0.117271,0.124377
18,0.112785,0.130991
19,0.114868,0.131204
20,0.109843,0.131919
21,0.107025,0.124492
22,0.103918,0.123775
23,0.104272,0.127185
24,0.101687,0.117250
25,0.100676,0.107608
26,0.099390,0.123983
27,0.098490,0.107222
28,0.096097,0.118678
29,0.092601,0.142727
30,0.096842,0.121596
31,0.091974,0.115972
32,0.093204,0.114766
33,0.090159,0.105277
34,0.090698,0.119025
35,0.088081,0.111259
36,0.086637,0.119156
37,0.092854,0.115600
38,0.087402,0.108963
39,0.086907,0.108579
40,0.087260,0.119371
41,0.085672,0.123973
42,0.080075,0.107080
43,0.083832,0.113052
44,0.086894,0.103956
45,0.082238,0.108528
46,0.083736,0.120439
47,0.080926,0.105695
48,0.082562,0.116301
49,0.083291,0.110676
50,0.082219,0.105146
51,0.078877,0.106602
52,0.077928,0.120124
53,0.078076,0.118194
54,0.076748,0.114041
55,0.074507,0.104598
56,0.078781,0.113873
57,0.077886,0.122442
58,0.076709,0.119942
59,0.078257,0.113457
60,0.075220,0.109096
61,0.074238,0.103548
62,0.073576,0.108886
63,0.076202,0.108571
64,0.074391,0.104018
65,0.071156,0.115591
66,0.073750,0.113247
67,0.072943,0.107936
68,0.073978,0.100207
69,0.074065,0.107531
70,0.073974,0.103778
71,0.068424,0.107160
72,0.072673,0.096322
73,0.072643,0.108781
74,0.069798,0.110387
75,0.071847,0.133485
76,0.071997,0.100719
77,0.070882,0.100996
78,0.067932,0.106246
79,0.068530,0.109024
80,0.071813,0.102962
81,0.066340,0.097217
82,0.067701,0.121284
83,0.070481,0.104107
84,0.067250,0.101635
85,0.070610,0.095502
86,0.064122,0.102061
87,0.071031,0.094629
88,0.067154,0.108638
89,0.067580,0.115435
90,0.066671,0.099564
91,0.066790,0.097557
92,0.063586,0.099889
93,0.068892,0.092531
94,0.064979,0.097408
95,0.065352,0.104308
96,0.063114,0.100538
97,0.069290,0.105051
98,0.062965,0.105126
99,0.064204,0.111746
