epoch,train_loss,val_loss
0,0.512027,0.116907
1,0.101627,0.073522
2,0.072784,0.136700
3,0.062529,0.064677
4,0.052460,0.043840
5,0.050082,0.043583
6,0.042432,0.095478
7,0.038974,0.055159
8,0.035927,0.035058
9,0.034268,0.033879
10,0.030969,0.026868
11,0.027052,0.027430
12,0.029436,0.029198
13,0.026085,0.025908
14,0.022477,0.024786
15,0.021570,0.028517
16,0.023272,0.020534
17,0.018142,0.028156
18,0.018255,0.016164
19,0.019332,0.020076
20,0.013967,0.018606
21,0.016882,0.012207
22,0.015705,0.036811
23,0.014621,0.021783
24,0.014946,0.011040
25,0.013632,0.010628
26,0.015205,0.011542
27,0.012179,0.013757
28,0.012050,0.016116
29,0.012883,0.010248
30,0.010480,0.019835
31,0.013378,0.011646
32,0.011438,0.008420
33,0.010933,0.006792
34,0.010871,0.017291
35,0.011904,0.010403
36,0.009996,0.022275
37,0.011841,0.008664
38,0.010063,0.009255
39,0.009049,0.007232
40,0.009349,0.008609
41,0.010094,0.007899
42,0.011565,0.006550
43,0.009525,0.012119
44,0.009022,0.011241
45,0.009111,0.016942
46,0.009725,0.009537
47,0.009955,0.022111
48,0.008897,0.011395
49,0.009708,0.006900
50,0.008687,0.010715
51,0.008142,0.016962
52,0.008308,0.006737
53,0.008501,0.013314
54,0.009951,0.010108
55,0.008617,0.010796
56,0.007851,0.006176
57,0.008862,0.008208
58,0.007157,0.006656
59,0.009035,0.007606
60,0.007932,0.004479
61,0.007459,0.007019
62,0.007678,0.005652
63,0.007145,0.008196
64,0.008430,0.013926
65,0.007364,0.008351
66,0.008963,0.022167
67,0.007789,0.020203
68,0.007755,0.005431
69,0.007148,0.009597
70,0.006720,0.005286
71,0.007213,0.009684
72,0.007883,0.005498
73,0.006061,0.006718
74,0.007595,0.007453
75,0.008194,0.004302
76,0.005574,0.006279
77,0.006965,0.004979
78,0.008066,0.004261
79,0.006692,0.007547
80,0.006932,0.006165
81,0.006302,0.004933
82,0.006598,0.006403
83,0.006258,0.006065
84,0.006368,0.006375
85,0.007294,0.006185
86,0.006589,0.005728
87,0.006073,0.030861
88,0.006818,0.003692
89,0.006040,0.003329
90,0.006381,0.005193
91,0.006055,0.005196
92,0.005961,0.004519
93,0.005784,0.007288
94,0.006936,0.005256
95,0.006331,0.014298
96,0.005579,0.008175
97,0.006504,0.004609
98,0.005793,0.009311
99,0.005544,0.006505
