t,theta,theta_dot,torque
0.0,1.3,0.1,-2.724562168121338
0.05,1.2808994970346657,-0.8563240148219602,-2.616266965866089
0.1,1.2137227611865526,-1.8274473578411976,-2.4516654014587402
0.15000000000000002,1.1047441841096575,-2.44896622071236,-1.2154659032821655
0.2,0.9749501885726908,-2.69638951704953,-0.49620863795280457
0.25,0.8389962364339651,-2.710245427057055,-0.0018823770806193352
0.30000000000000004,0.7064451437647625,-2.5717777273113933,0.3221394419670105
0.35000000000000003,0.5833654795074039,-2.3402125255018116,0.5149224996566772
0.4,0.47317747797587584,-2.0625102109727926,0.6102249026298523
0.45,0.3773598346337544,-1.7697496136414943,0.6391600370407104
0.5,0.29611455717972085,-1.4824335169556844,0.6230013966560364
0.55,0.2287619592519413,-1.2158854451724919,0.5739933848381042
0.6000000000000001,0.17399118523381646,-0.9807352264089001,0.4996527433395386
0.65,0.130096035720245,-0.7804380262593456,0.4314299523830414
0.7000000000000001,0.09548239874656024,-0.6087335376874946,0.37167662382125854
0.75,0.06879777455088411,-0.46268419529048316,0.31782057881355286
0.8,0.04883625046388046,-0.3391237937126476,0.27295953035354614
0.8500000000000001,0.03459187371516135,-0.23350112570791215,0.23391413688659668
0.9,0.025201411582692446,-0.14502376867468403,0.1927485466003418
0.9500000000000001,0.019796670443934912,-0.07391203640323545,0.15271103382110596
1.0,0.017550642401941544,-0.018428051839879913,0.11574938893318176
1.05,0.017713712566753217,0.022728547417013103,0.08233493566513062
1.1,0.019618853383394703,0.051557333287960014,0.05312513932585716
1.1500000000000001,0.022692033651288263,0.0697444740134376,0.027981091290712357
1.2000000000000002,0.026445380842638963,0.07906030612354119,0.0071038054302334785
1.25,0.030480271985237898,0.08129848378224536,-0.009450039826333523
1.3,0.03448583525077001,0.0781741767393955,-0.02170884609222412
1.35,0.03823583082524108,0.07132927288564447,-0.03009706735610962
1.4000000000000001,0.04158047678755373,0.06217844815072129,-0.03511536493897438
1.4500000000000002,0.04443465954291643,0.05187687365480001,-0.037511181086301804
1.5,0.046764076590586595,0.04132218089455302,-0.03776625171303749
1.55,0.048574478360272906,0.031221337845658486,-0.03630603104829788
1.6,0.04990307756662021,0.022116780298573054,-0.0337408110499382
1.6500000000000001,0.05080689605841714,0.014255754880247289,-0.030678540468215942
1.7000000000000002,0.05135126777822827,0.0077475198029253066,-0.02739221230149269
1.75,0.05160425074879942,0.0025928730793188188,-0.02414201945066452
1.8,0.051631843267645826,-0.0012867160215196821,-0.02111779898405075
1.85,0.051494487215527,-0.004030722566912404,-0.018433481454849243
1.9000000000000001,0.05124514157970457,-0.005793166824496843,-0.01612253487110138
1.9500000000000002,0.050928749597163446,-0.006740883054803542,-0.014218888245522976
2.0,0.050581823154328326,-0.0070421056520831565,-0.012720624916255474
2.0500000000000003,0.05023264851991574,-0.006856242248774916,-0.011603078804910183
2.1,0.049901908584816225,-0.006327134961875087,-0.010826359502971172
2.15,0.0496035731074342,-0.005579021205789191,-0.010341993533074856
2.2,0.049345930250831636,-0.004714764830970261,-0.01009791623800993
2.25,0.049132663693415755,-0.0038157980226867626,-0.010042360983788967
2.3000000000000003,0.048963899610363876,-0.0029432691414285426,-0.010127018205821514
2.35,0.04883717240491639,-0.0021400835316400997,-0.010308797471225262
2.4000000000000004,0.048748274788559656,-0.0014334569496631164,-0.010550576262176037
2.45,0.04869197471804777,-0.0008376132548176965,-0.010822172276675701
2.5,0.04866259673657478,-0.0003565163577260941,-0.011099650524556637
2.5500000000000003,0.048654469911356406,1.3563081752577376e-05,-0.011365669779479504
2.6,0.04866225213818594,0.00028169979246914695,-0.01160792913287878
2.6500000000000004,0.048681147184702726,0.00046034205812305946,-0.011819063685834408
2.7,0.04870703127807954,0.000563696562029751,-0.01199543010443449
2.75,0.04873650634964911,0.0006063996502348184,-0.012136402539908886
2.8000000000000003,0.048766896567138486,0.0006025765688738749,-0.012243538163602352
2.85,0.04879620516704924,0.0005651712275551594,-0.012319921515882015
2.9000000000000004,0.04882304365318527,0.0005055095593587049,-0.01236958708614111
2.95,0.048846544551946425,0.0004330957523269764,-0.01239693071693182
3.0,0.04886626941975746,0.0003555892286783789,-0.012406575493514538
3.0500000000000003,0.048882116854518515,0.0002788318727016814,-0.0124027905985713
3.1,0.04889423602559106,0.00020703244561207033,-0.012389379553496838
3.1500000000000004,0.048902949568466164,0.00014296107651974864,-0.012369892559945583
3.2,0.0489086876070286,8.818816007255638e-05,-0.012346918694674969
3.25,0.04891193415835973,4.333148141335238e-05,-0.012322875671088696
3.3000000000000003,0.04891318366114775,8.237087912007454e-06,-0.012299424968659878
3.35,0.04891290999081997,-1.774056980593825e-05,-0.012277665548026562
3.4000000000000004,0.04891154507179785,-3.5595393647172436e-05,-0.012258443050086498
3.45,0.04890946597242937,-4.6521702828931065e-05,-0.012242178432643414
3.5,0.04890698708952313,-5.1795083022663825e-05,-0.01222900953143835
3.5500000000000003,0.048904360263474396,-5.264330092155142e-05,-0.012218824587762356
3.6,0.04890177685000944,-5.0238645643376737e-05,-0.012211359106004238
3.6500000000000004,0.04889937358320124,-4.5600286891238695e-05,-0.012206333689391613
3.7,0.048897239346904174,-3.961011841851883e-05,-0.012203379534184933
3.75,0.04889542338568655,-3.297426936145859e-05,-0.012202135287225246
3.8000000000000003,0.04889394311144489,-2.6264191768019492e-05,-0.012202086858451366
3.85,0.04889279169169984,-1.9871926997502905e-05,-0.012203033082187176
3.9000000000000004,0.048891945632569454,-1.4089496583560207e-05,-0.012204642407596111
