epoch,train_loss,val_loss
0,16.063093,10.361142
1,5.768498,3.151156
2,2.510870,2.172591
3,1.976956,1.760046
4,1.623040,1.430040
5,1.328759,1.144173
6,1.070896,0.878109
7,0.831690,0.648053
8,0.614118,0.442778
9,0.424415,0.277289
10,0.279821,0.173422
11,0.181107,0.103746
12,0.117626,0.061258
13,0.076046,0.034830
14,0.049384,0.019287
15,0.036451,0.012941
16,0.030433,0.008257
17,0.027263,0.005901
18,0.025666,0.004707
19,0.024481,0.004838
20,0.024000,0.003463
21,0.023454,0.003040
22,0.022995,0.002636
23,0.022661,0.002909
24,0.022400,0.002690
25,0.022218,0.002018
26,0.021926,0.001941
27,0.021781,0.002535
28,0.021792,0.001609
29,0.021567,0.001685
30,0.021419,0.001365
31,0.021341,0.001368
32,0.021248,0.001272
33,0.021207,0.001202
34,0.021167,0.001461
35,0.021021,0.001082
36,0.021078,0.001950
37,0.020998,0.001160
38,0.021036,0.001064
39,0.020993,0.001081
40,0.020933,0.001135
41,0.020937,0.001537
42,0.020809,0.001026
43,0.020935,0.000990
44,0.020871,0.001074
45,0.020861,0.000933
46,0.020819,0.001045
47,0.020840,0.001241
48,0.020816,0.000859
49,0.020923,0.002391
50,0.020837,0.000913
51,0.020808,0.000942
52,0.020740,0.000922
53,0.020820,0.000901
54,0.020655,0.000814
55,0.020711,0.001064
56,0.020814,0.000950
57,0.020560,0.002141
58,0.020751,0.000934
59,0.020722,0.000859
60,0.020702,0.000800
61,0.020662,0.000822
62,0.020679,0.000879
63,0.020669,0.001077
64,0.020620,0.000835
65,0.020674,0.001088
66,0.020644,0.001439
67,0.020621,0.000750
68,0.020635,0.000816
69,0.020614,0.000790
70,0.020672,0.000775
71,0.020615,0.000925
72,0.020615,0.000784
73,0.020676,0.000768
74,0.020575,0.000726
75,0.020575,0.000952
76,0.020584,0.000719
77,0.020647,0.000846
78,0.020482,0.000782
79,0.020624,0.000771
80,0.020530,0.005129
81,0.020697,0.000755
82,0.020583,0.000790
83,0.020595,0.000993
84,0.020531,0.001661
85,0.020598,0.000764
86,0.020457,0.007398
87,0.020694,0.000892
88,0.020469,0.000881
89,0.020512,0.000729
90,0.020587,0.001480
91,0.020547,0.002863
92,0.020558,0.000719
93,0.020526,0.000753
94,0.020508,0.000785
95,0.020476,0.000695
96,0.020505,0.000972
97,0.020418,0.001566
98,0.020526,0.000825
99,0.020523,0.000743
