epoch,train_loss,val_loss
0,0.932431,0.763107
1,0.667134,0.652893
2,0.422944,0.403056
3,0.326279,0.337389
4,0.289001,0.256745
5,0.260096,0.291348
6,0.242754,0.243287
7,0.230768,0.277115
8,0.223259,0.255200
9,0.209225,0.222017
10,0.200813,0.207814
11,0.199365,0.223019
12,0.193694,0.209564
13,0.183046,0.211562
14,0.185101,0.206562
15,0.178300,0.187106
16,0.170469,0.210049
17,0.171498,0.219721
18,0.166829,0.196938
19,0.166239,0.186779
20,0.158044,0.208125
21,0.156563,0.173942
22,0.155798,0.182751
23,0.148650,0.185787
24,0.152091,0.162275
25,0.145321,0.178866
26,0.152075,0.208250
27,0.144815,0.208275
28,0.145261,0.182370
29,0.139802,0.205980
30,0.137820,0.193585
31,0.138031,0.191479
32,0.133148,0.184432
33,0.134100,0.193712
34,0.132406,0.168612
35,0.130575,0.163779
36,0.125331,0.175422
37,0.128045,0.163993
38,0.125349,0.173040
39,0.127686,0.168876
40,0.129302,0.158526
41,0.119897,0.177364
42,0.125481,0.202977
43,0.122498,0.175727
44,0.118609,0.170701
45,0.121879,0.168168
46,0.119709,0.179364
47,0.118662,0.151265
48,0.124297,0.155719
49,0.113859,0.176038
50,0.120165,0.145530
51,0.113429,0.204481
52,0.114608,0.174660
53,0.109818,0.176799
54,0.119915,0.150476
55,0.111395,0.159460
56,0.113740,0.159744
57,0.110050,0.162510
58,0.112798,0.168275
59,0.110091,0.177483
60,0.113981,0.163721
61,0.108960,0.158730
62,0.109084,0.169673
63,0.109123,0.174452
64,0.107857,0.150798
65,0.108116,0.173252
66,0.105862,0.152403
67,0.105405,0.162832
68,0.106550,0.157238
69,0.102150,0.158537
70,0.104648,0.172735
71,0.102052,0.162309
72,0.106625,0.159025
73,0.104713,0.151115
74,0.102083,0.157489
75,0.106933,0.148297
76,0.100549,0.163248
77,0.101890,0.164503
78,0.098167,0.173791
79,0.100944,0.147512
80,0.101397,0.158972
81,0.099169,0.143560
82,0.100947,0.169557
83,0.096069,0.162082
84,0.097882,0.150003
85,0.095959,0.157887
86,0.096576,0.145929
87,0.102288,0.138668
88,0.093892,0.152303
89,0.093952,0.147062
90,0.095597,0.176066
91,0.095385,0.152503
92,0.099052,0.161856
93,0.096606,0.158829
94,0.097179,0.145306
95,0.094829,0.159442
96,0.092442,0.153057
97,0.096201,0.157044
98,0.091979,0.146145
99,0.094350,0.161561
