epoch,train_loss,val_loss
0,0.843565,0.148007
1,0.185391,0.102914
2,0.169370,0.089436
3,0.156596,0.085026
4,0.141714,0.083901
5,0.141336,0.079427
6,0.138787,0.085685
7,0.123532,0.070002
8,0.127945,0.092594
9,0.127598,0.078896
10,0.116386,0.094156
11,0.113135,0.070525
12,0.116960,0.073244
13,0.113516,0.080999
14,0.113629,0.065512
15,0.108583,0.082786
16,0.111670,0.078736
17,0.109701,0.072703
18,0.106420,0.069496
19,0.107198,0.073870
20,0.106877,0.066460
21,0.105644,0.072953
22,0.097718,0.084411
23,0.093814,0.082656
24,0.099020,0.068583
25,0.099284,0.074915
26,0.095131,0.087079
27,0.100027,0.075161
28,0.094258,0.086818
29,0.087703,0.061290
30,0.098289,0.073785
31,0.084340,0.060383
32,0.090536,0.075330
33,0.088395,0.086203
34,0.092855,0.092976
35,0.089466,0.071718
36,0.086299,0.063257
37,0.084674,0.074764
38,0.091895,0.058138
39,0.082882,0.063181
40,0.086389,0.061425
41,0.081264,0.066758
42,0.083343,0.082913
43,0.082798,0.068692
44,0.084288,0.063405
45,0.078626,0.065810
46,0.083488,0.058396
47,0.081906,0.073868
48,0.081309,0.059887
49,0.084935,0.070719
50,0.078148,0.071411
51,0.078783,0.068279
52,0.078101,0.057899
53,0.074103,0.072397
54,0.073628,0.063913
55,0.077254,0.066210
56,0.077144,0.061269
57,0.074494,0.060495
58,0.077819,0.074532
59,0.075091,0.055732
60,0.076159,0.061448
61,0.074083,0.059049
62,0.071131,0.057260
63,0.072258,0.062911
64,0.071126,0.050086
65,0.070948,0.056493
66,0.070204,0.069242
67,0.073926,0.079935
68,0.071227,0.054431
69,0.076962,0.060313
70,0.070513,0.054425
71,0.064607,0.054517
72,0.065441,0.045492
73,0.072344,0.068371
74,0.066943,0.058843
75,0.066511,0.056801
76,0.070895,0.049191
77,0.067862,0.049587
78,0.063509,0.048743
79,0.070798,0.058336
80,0.061085,0.052170
81,0.065994,0.046677
82,0.066614,0.049769
83,0.065626,0.059889
84,0.062995,0.052810
85,0.065585,0.059940
86,0.064945,0.046843
87,0.063096,0.051430
88,0.063627,0.050467
89,0.064303,0.055195
90,0.061259,0.062027
91,0.061786,0.040308
92,0.064916,0.050006
93,0.058225,0.040089
94,0.057660,0.044497
95,0.062427,0.048821
96,0.067648,0.055637
97,0.061475,0.052850
98,0.063142,0.059732
99,0.061538,0.059435
