epoch,train_loss,val_loss
0,0.675938,0.495275
1,0.329066,0.265614
2,0.249541,0.244910
3,0.210713,0.198897
4,0.183843,0.185015
5,0.170629,0.187428
6,0.160748,0.155505
7,0.158472,0.171429
8,0.150290,0.169415
9,0.142223,0.168424
10,0.138434,0.156262
11,0.136976,0.160383
12,0.128305,0.147067
13,0.124721,0.149444
14,0.123310,0.142953
15,0.122137,0.133000
16,0.119658,0.150119
17,0.114997,0.146331
18,0.113246,0.144429
19,0.110498,0.132117
20,0.108322,0.155617
21,0.107171,0.147969
22,0.107139,0.123558
23,0.104664,0.114881
24,0.101184,0.132676
25,0.101742,0.131476
26,0.099330,0.125674
27,0.097068,0.125959
28,0.098223,0.118479
29,0.097292,0.118232
30,0.094488,0.109455
31,0.096244,0.122046
32,0.090758,0.116034
33,0.092004,0.118898
34,0.089151,0.106857
35,0.090000,0.110125
36,0.094364,0.104490
37,0.084455,0.114610
38,0.088873,0.109209
39,0.087543,0.107951
40,0.086129,0.115909
41,0.083098,0.116428
42,0.085013,0.114577
43,0.082024,0.116951
44,0.082630,0.115863
45,0.082926,0.121550
46,0.083362,0.106665
47,0.079630,0.099577
48,0.081013,0.109797
49,0.080121,0.107858
50,0.078440,0.110703
51,0.079796,0.109984
52,0.079893,0.106499
53,0.074713,0.109959
54,0.079116,0.105216
55,0.075951,0.119997
56,0.078208,0.125724
57,0.074172,0.105420
58,0.076352,0.108632
59,0.076967,0.111150
60,0.072219,0.095805
61,0.074856,0.106240
62,0.076953,0.099549
63,0.071151,0.099063
64,0.073686,0.101955
65,0.075075,0.104373
66,0.073083,0.099539
67,0.071793,0.094991
68,0.070058,0.093229
69,0.070485,0.106696
70,0.071672,0.096918
71,0.070911,0.107487
72,0.071133,0.124183
73,0.071678,0.114898
74,0.069984,0.098832
75,0.068122,0.101103
76,0.066878,0.104709
77,0.072423,0.103118
78,0.067562,0.102643
79,0.070830,0.093567
80,0.069492,0.096478
81,0.066502,0.096059
82,0.068138,0.090921
83,0.065981,0.106618
84,0.066929,0.107133
85,0.066638,0.087898
86,0.063637,0.099461
87,0.064964,0.089058
88,0.066539,0.098706
89,0.066622,0.106433
90,0.063276,0.097616
91,0.064020,0.091382
92,0.065516,0.094922
93,0.065519,0.097598
94,0.065189,0.128137
95,0.063690,0.097235
96,0.061628,0.109028
97,0.066796,0.106345
98,0.064115,0.098084
99,0.063360,0.090083
