traj_id,t,theta,theta_dot,error_theta,u_theta
2,4.40999999999995,-0.00024761518542870675,0.00025728016473546553,0.00024761518542870675,0.0003271944738036936
2,4.41999999999995,-0.0002449205243002517,0.0002816080065295062,0.0002449205243002517,3.3395367866617676e-05
2,4.42999999999995,-0.00024199091686449847,0.00030426558515914224,0.00024199091686449847,-0.00024545588545255015
2,4.43999999999995,-0.00023884281306196797,0.0003253037077731402,0.00023884281306196797,-0.0005096982671082273
2,4.4499999999999496,-0.00023549215537332913,0.0003447730508837072,0.00023549215537332913,-0.00075967567191082
2,4.459999999999949,-0.00023195438047851624,0.00036272408995910546,0.00023195438047851624,-0.000995736134905556
2,4.469999999999949,-0.0002282444215988555,0.0003792070329196504,0.0002282444215988555,-0.0012182310900277216
2,4.479999999999949,-0.00022437671148667349,0.00039427175742762585,0.00022437671148667349,-0.0014275146636721914
2,4.489999999999949,-0.0002203651860237521,0.0004079677518875267,0.0002203651860237521,-0.0016239429973152752
2,4.4999999999999485,-0.00021622328839088212,0.0004203440600518165,0.00021622328839088212,-0.0018078736026838627
2,4.509999999999948,-0.00021196397377387655,0.0004314492291262901,0.00021196397377387655,-0.001979664748961163
2,4.519999999999948,-0.00020759971457229298,0.00044133126127959593,0.00020759971457229298,-0.0021396748792668063
2,4.529999999999948,-0.00020314250607578188,0.0004500375684609604,0.00020314250607578188,-0.002288262055860635
2,4.539999999999948,-0.00019860387257786272,0.00045761493041834915,0.00019860387257786272,-0.0024257834357532815
2,4.549999999999947,-0.00019399487389115677,0.00046410945582930273,0.00019399487389115677,-0.0025525947721405373
2,4.559999999999947,-0.00018932611223965168,0.0004695665464225391,0.00018932611223965168,-0.0026690499477943774
2,4.569999999999947,-0.00018460773949158238,0.0004740308640225806,0.00018460773949158238,-0.0027755005291085766
2,4.579999999999947,-0.00017984946471205632,0.00047754630038436243,0.00017984946471205632,-0.0028722953531534756
2,4.589999999999947,-0.00017506056200033981,0.0004801559497594559,0.00017506056200033981,-0.0029597801324054984
2,4.599999999999946,-0.00017024987859004526,0.00048190208405933245,0.00017024987859004526,-0.0030382970917131047
2,4.609999999999946,-0.00016542584318424147,0.0004828261305445395,0.00016542584318424147,-0.003108184624394106
2,4.619999999999946,-0.00016059647450328285,0.0004829686519334701,0.00016059647450328285,-0.003169776973961369
2,4.629999999999946,-0.00015576939001737955,0.00048236932885003484,0.00015576939001737955,-0.003223403935925795
2,4.6399999999999455,-0.00015095181484614528,0.0004810669444965784,0.00015095181484614528,-0.0032693905857295036
2,4.649999999999945,-0.00014615059079847725,0.00047909937148687205,0.00014615059079847725,-0.0033080570227728145
2,4.659999999999945,-0.00014137218553500475,0.0004765035607256974,0.00014137218553500475,-0.0033397181396832565
2,4.669999999999945,-0.00013662270183179004,0.0004733155322633633,0.00013662270183179004,-0.0033646834081224597
