epoch,train_loss,val_loss
0,0.007527,0.001225
1,0.003663,0.000576
2,0.001697,0.002286
3,0.000821,0.000710
4,0.001249,0.000453
5,0.000584,0.001833
6,0.000959,0.000120
7,0.000266,0.000314
8,0.000323,0.000025
9,0.000118,0.000091
10,0.000064,0.000037
11,0.000061,0.000017
12,0.000018,0.000032
13,0.000034,0.000007
14,0.000023,0.000010
15,0.000011,0.000023
16,0.000018,0.000009
17,0.000011,0.000005
18,0.000005,0.000004
19,0.000004,0.000003
20,0.000004,0.000003
21,0.000003,0.000002
22,0.000003,0.000002
23,0.000003,0.000002
24,0.000003,0.000002
25,0.000002,0.000002
26,0.000002,0.000002
27,0.000002,0.000001
28,0.000002,0.000001
29,0.000002,0.000001
