epoch,train_loss,val_loss
0,1.317330,0.645245
1,0.518987,0.483363
2,0.430588,0.418919
3,0.384715,0.381752
4,0.350762,0.351043
5,0.319052,0.327179
6,0.292786,0.304859
7,0.268398,0.274587
8,0.249046,0.284745
9,0.232955,0.243880
10,0.221699,0.233656
11,0.214352,0.226120
12,0.205047,0.218707
13,0.199393,0.218693
14,0.194506,0.214058
15,0.188038,0.205463
16,0.183990,0.203201
17,0.181637,0.195833
18,0.176101,0.188370
19,0.172237,0.200587
20,0.168808,0.196916
21,0.166546,0.185452
22,0.162223,0.185863
23,0.159949,0.171224
24,0.156528,0.173644
25,0.155558,0.162608
26,0.152557,0.168133
27,0.150259,0.160132
28,0.147388,0.165368
29,0.144830,0.157603
30,0.143036,0.153609
31,0.141583,0.155718
32,0.138930,0.151854
33,0.137055,0.148140
34,0.135498,0.149717
35,0.134121,0.148865
36,0.131067,0.146590
37,0.131007,0.149686
38,0.129189,0.145348
39,0.127524,0.137859
40,0.124742,0.151560
41,0.124080,0.134442
42,0.123291,0.142888
43,0.121253,0.134679
44,0.119647,0.134324
45,0.117317,0.146416
46,0.117628,0.134227
47,0.115930,0.134994
48,0.114419,0.132191
49,0.113056,0.147552
50,0.111721,0.129295
51,0.110766,0.128129
52,0.109532,0.125290
53,0.108569,0.127819
54,0.107343,0.123788
55,0.105480,0.127267
56,0.103550,0.124440
57,0.105473,0.120000
58,0.103002,0.120739
59,0.101427,0.114252
60,0.100433,0.119527
61,0.099775,0.119789
62,0.099412,0.123211
63,0.098041,0.118518
64,0.097827,0.119881
65,0.096189,0.117788
66,0.095171,0.115672
67,0.095472,0.112490
68,0.093274,0.109906
69,0.093113,0.114321
70,0.092109,0.110173
71,0.091268,0.118329
72,0.091301,0.113884
73,0.089667,0.111491
74,0.090194,0.108923
75,0.088563,0.107013
76,0.087799,0.111753
77,0.087576,0.107686
78,0.085527,0.115260
79,0.085927,0.110293
80,0.084445,0.113408
81,0.085985,0.114823
82,0.083964,0.108002
83,0.083373,0.111420
84,0.082752,0.105915
85,0.081378,0.110935
86,0.081689,0.105015
87,0.081344,0.103139
88,0.080857,0.103482
89,0.079944,0.108542
90,0.080149,0.104824
91,0.079528,0.113079
92,0.079035,0.111152
93,0.078268,0.107261
94,0.078282,0.101941
95,0.078309,0.106835
96,0.076502,0.105393
97,0.076995,0.106763
98,0.077059,0.110916
99,0.075264,0.101917
