t,theta,theta_dot,torque
0.0,3.3,0.1,-5.0
0.05,3.2546222764974106,-1.9143600985349045,-5.0
0.1,3.1087226327504887,-3.919197539825242,-5.0
0.15000000000000002,2.863028031678577,-5.904543937290624,-5.0
0.2,2.518737038236238,-7.861932383692314,-5.0
0.25,2.077357111006527,-9.78837078018793,-5.0
0.30000000000000004,1.5402808575148543,-11.692543281574782,-5.0
0.35000000000000003,0.90806005404365,-13.599785859651533,-5.0
0.4,0.20146734739129854,-14.00205585342344,3.979017715842242
0.45,-0.44974240053741416,-12.036781329046553,5.0
0.5,-1.0030654205147669,-10.102950923585297,5.0
0.55,-1.4604944475906931,-8.196698293668808,5.0
0.6000000000000001,-1.8228193643999566,-6.295842969126196,5.0
0.65,-2.0899558009420596,-4.387923325447442,5.0
0.7000000000000001,-2.261435293318932,-2.469621258534204,5.0
0.75,-2.3367892403466533,-0.5436963282722684,5.0
0.8,-2.3157739963032586,1.3840647962459014,5.0
0.8500000000000001,-2.1984596895513033,3.307261540817766,5.0
0.9,-1.9852062333921023,5.221095165181388,5.0
0.9500000000000001,-1.6765190722809975,7.125048201643992,5.0
1.0,-1.2727553188944527,9.026112991247507,5.0
1.05,-0.7736790281681396,10.941207981678154,5.0
1.1,-0.19862724990753858,11.4979812239204,-2.7695818633471214
1.1500000000000001,0.3319930583395786,9.632695910606513,-5.0
1.2000000000000002,0.7647854660409016,7.6851083072336515,-5.0
1.25,1.1009689442826043,5.7655361999697625,-5.0
1.3,1.3415618022781064,3.859531068213524,-5.0
1.35,1.4869994547232843,1.9583413544749044,-5.0
1.4000000000000001,1.5374119057476037,0.058201900572151244,-5.0
1.4500000000000002,1.4928198724146062,-1.8419210690576884,-5.0
1.5,1.3532056663261076,-3.7429785697653615,-5.0
1.55,1.1184504649723719,-5.648496106472997,-5.0
1.6,0.7881451228974763,-7.566874873776824,-5.0
1.6500000000000001,0.36563583753600376,-9.05339204985662,-0.9578415381117464
1.7000000000000002,-0.07407881232346819,-8.133057643620548,5.0
1.75,-0.4312297085458381,-6.158715452588953,5.0
1.8,-0.6904175358116855,-4.212438420125427,5.0
1.85,-0.852746834161046,-2.2826621697036744,5.0
1.9000000000000001,-0.9188108907704646,-0.3605924586344137,5.0
1.9500000000000002,-0.8888246584587489,1.5603489778802584,5.0
2.0,-0.7626926009320382,3.486350429549243,5.0
2.0500000000000003,-0.5399769873493562,5.42521153433101,5.0
2.1,-0.2334377432662124,6.502439379529877,0.2503464592282474
2.15,0.07844285913698723,5.69202865440211,-4.022657214255863
2.2,0.3160789506108298,3.7707333927690545,-5.0
2.25,0.45552079695377345,1.8090882605323841,-5.0
2.3000000000000003,0.49712408349079795,-0.14434219543665705,-5.0
2.35,0.44107591736594665,-2.0984154442943646,-5.0
2.4000000000000004,0.29207729252132686,-3.6812999408248324,-2.5405094174074865
2.45,0.09394414335769952,-4.036353057830692,0.6090143785498534
2.5,-0.09278250044525993,-3.273959431756653,3.0287172225572254
2.5500000000000003,-0.22145602235029274,-1.7956172344411192,4.219648952474951
2.6,-0.26902620255123655,-0.11667099765907832,4.093728537098087
2.6500000000000004,-0.2377797808480743,1.2883849043944138,2.9225042605239073
2.7,-0.15015875864307776,2.102510160439421,1.2011262994264558
2.75,-0.039246257647618625,2.2204823853423608,-0.521547327956901
2.8000000000000003,0.06179952266320538,1.737800448365937,-1.7958930641310493
2.85,0.12840698690692243,0.889261952033642,-2.3707357796206576
2.9000000000000004,0.14944177460276417,-0.03746959158915489,-2.222891823246885
2.95,0.12767676193739666,-0.7864369923415133,-1.5219329328901932
3.0,0.07654882367387753,-1.194458813938297,-0.5510029481390143
3.0500000000000003,0.0147192799409123,-1.2169078034475178,0.3876647026100744
3.1,-0.03974227869083081,-0.9178331802032766,1.0550507704641006
3.1500000000000004,-0.07396407781627042,-0.43353527146498283,1.3262288029765477
3.2,-0.08268737799704959,0.07607411237405451,1.2022736137687164
3.25,-0.06825854555484262,0.4734607210750407,0.787147822785119
3.3000000000000003,-0.03863852624757711,0.6752983943593617,0.2419286965339758
3.35,-0.004308101379225787,0.6643832200912184,-0.2675700893572224
3.4000000000000004,0.024923120361882222,0.4821301209671111,-0.6149118659117889
3.45,0.04235396422694603,0.2071410393128638,-0.7388799830606224
3.5,0.045576290888762444,-0.07203810124766832,-0.6476253127076025
3.5500000000000003,0.03632505467419214,-0.2818179433675437,-0.40396684842911035
3.6,0.01927470883676735,-0.380053181901807,-0.09909404160060678
3.6500000000000004,0.00028690728004182733,-0.36133741018828264,0.1763650958935139
3.7,-0.015333834791964767,-0.2517528775879722,0.3558839606734576
3.75,-0.02412290888390841,-0.09635830095490619,0.41002278373607925
3.8000000000000003,-0.025025892917989526,0.056004903717910746,0.3473859419108875
3.85,-0.019236731946682448,0.166139399888675,0.2054812792558992
3.9000000000000004,-0.009478717629555941,0.21296934886990382,0.03569609000838722
3.95,0.0009831623722403406,0.19575356606197297,-0.1126242186145916
4.0,0.00929214983329898,0.13059265615263094,-0.20467857557580016
4.05,0.013670949529484623,0.04317596822624273,-0.22665222705539073
4.1000000000000005,0.013689694510093402,-0.039657999367737465,-0.1855164179675323
4.15,0.010133838590484882,-0.09713120479959961,-0.10344197645747343
4.2,0.00457895657205483,-0.11884785673703689,-0.009260420212304006
4.25,-0.001163498828948329,-0.10562435654863701,0.07026466070854344
4.3,-0.005561504237968618,-0.06724386992389011,0.11704449853147433
4.3500000000000005,-0.0077114687175762345,-0.01827881779033177,0.1248114396588094
4.4,-0.007460036159993016,0.026578734354041622,0.09861117522287442
4.45,-0.0053080966700424954,0.05637145140101532,0.051435724350129775
4.5,-0.002161525809912922,0.06605816239824586,-0.0006061940504290958
4.55,0.0009785411458140283,0.05675651895307321,-0.04305637666374703
4.6000000000000005,0.0032941405943339268,0.03433502624707967,-0.06657962203854872
4.65,0.0043306576730526005,0.007020955362993891,-0.06847034277728595
4.7,0.004049556659023703,-0.017173456246493024,-0.05215662176210903
4.75,0.0027630114448101584,-0.032502161717628236,-0.02519409081333826
4.800000000000001,0.0009888964207058568,-0.03657347466544216,0.0034532910221332282
4.8500000000000005,-0.0007215973677280018,-0.030365940079466826,0.02600693055565344
4.9,-0.0019337896831192985,-0.01736214312543423,0.03768791680950659
4.95,-0.0024217852497092226,-0.0021863095649871413,0.03741993352813191
5.0,-0.0021895563079316676,0.010808949974466475,0.027438869631741775
