traj_id,t,x,z,theta,xq_dot,zq_dot,theta_dot,l,phi,l_dot,phi_dot,error_x,error_z,error_phi,u_z,u_theta
0,0.01,5.287472092156082,4.389285012242029,0.008333333333333335,-0.0004318323333944958,0.10009624832879323,1.6666666666666672,1.0,2.2531453521319,0.0,0.0018216034631014007,-1.2874727249145508,0.6112155914306641,-2.2531371116638184,10.0,5.0
0,0.02,5.287452639625273,4.390785974725317,0.03333333333333335,-0.004284491920426719,0.20009624832879325,3.3333333333333344,1.0,2.2531804850281905,0.0,0.005725774975229965,-1.287472092156082,0.6107149877579712,-2.2531453521319,10.0,5.0
0,0.03,5.287364361429446,4.393286937208605,0.07500000000000002,-0.014751087334249536,0.3000962483287933,5.000000000000002,1.0,2.2532737685470425,0.0,0.013801346703982802,-1.2874526396252728,0.6092140252746834,-2.2531804850281905,10.0,5.0
0,0.04,5.287124397060414,4.396787899691892,0.1333333333333334,-0.0351893793517168,0.4000962483287933,6.666666666666669,1.0,2.2534774701890554,0.0,0.02816803600918561,-1.2873643614294457,0.6067130627913953,-2.2532737685470425,10.0,5.0
0,0.05,5.286615716636274,4.40128886217518,0.2083333333333334,-0.06909795489830617,0.5000962483287933,8.333333333333336,1.0,2.253865447952391,0.0,0.05103909314683986,-1.2871243970604143,0.6032121003081077,-2.2534774701890554,10.0,5.0
0,0.060000000000000005,5.285687792687988,4.4067898246584685,0.28333333333333344,-0.11912044487709139,0.6000962483287933,6.666666666666669,1.0,2.25453279760224,0.0,0.08409802420012016,-1.2866157166362742,0.5987111378248198,-2.253865447952391,10.0,-5.0
0,0.07,5.284185588711176,4.413290787141756,0.3416666666666668,-0.1834481571883521,0.7000962483287932,5.000000000000002,1.0,2.2555776749412066,0.0,0.12623094011101904,-1.2856877926879884,0.5932101753415315,-2.25453279760224,10.0,-5.0
0,0.08,5.281981681591681,4.420791749625044,0.38333333333333347,-0.258907164211933,0.8000962483287932,3.333333333333335,1.0,2.2570811372151316,0.0,0.17547227582915662,-1.2841855887111757,0.5867092128582438,-2.2555776749412066,10.0,-5.0
0,0.09,5.278981664524543,4.4292927121083325,0.40951466952737037,-0.3421122157781592,0.9000962483287932,1.9029339054740397,1.0,2.2591038105831167,0.0,0.22972823705638973,-1.281981681591681,0.5792082503749558,-2.2570811372151316,10.0,-4.291198283577884
0,0.09999999999999999,5.2751236063761375,4.43879367459162,0.4260528546181221,-0.43015307639330147,1.0000962483287932,1.4047031126763017,1.0,2.2616862565768177,0.0,0.2872055547711263,-1.2789816645245429,0.5707072878916675,-2.2591038105831167,10.0,-1.4946923783932142
0,0.10999999999999999,5.270367207756342,4.4492946370749085,0.43868219731416963,-0.5216324424770797,1.1000962483287933,1.12116542653321,1.0,2.2648558344677374,0.0,0.3470695010834984,-1.2751236063761375,0.5612063254083797,-2.2616862565768177,10.0,-0.8506130584292748
0,0.11999999999999998,5.264682516822206,4.460795599558196,0.44556076287409196,-0.6155837445340336,1.2000962483287934,0.2545476854512583,1.0,2.268633857083249,0.0,0.40875782705739566,-1.2703672077563422,0.5507053629250915,-2.2648558344677374,10.0,-2.599853223245855
0,0.12999999999999998,5.258053885743491,4.473296562041484,0.44172337887750784,-0.7099871585191849,1.3000962483287934,-1.02202448476808,1.0,2.273033016980774,0.0,0.4710260045627558,-1.264682516822206,0.539204400441804,-2.268633857083249,10.0,-3.829716510658015
0,0.13999999999999999,5.250523662852079,4.486727200035119,0.4263477759908525,-0.7954844697171294,1.3860313503983,-2.053096092562985,1.0,2.2779754075459846,0.0,0.5171409665537255,-1.2580538857434913,0.526703437958516,-2.273033016980774,8.593510206950654,-3.0932148233847148
0,0.15,5.242190837418615,4.500945127179945,0.40421891221371875,-0.8703333499090958,1.4575540785668608,-2.3726766628637592,1.0,2.2832920166321964,0.0,0.5457594500785117,-1.2505236628520793,0.5132727999648807,-2.2779754075459846,7.15227281685609,-0.9587417109023235
0,0.16,5.233160241710809,4.51581172893179,0.38183979957340475,-0.9351025094121178,1.5157662718019926,-2.103145865199045,1.0,2.2888133152913785,0.0,0.5581212523110757,-1.2421908374186152,0.49905487282005456,-2.2832920166321964,5.8212193235131835,0.808592392994143
0,0.17,5.223525554712672,4.531199496152809,0.36186939915671046,-0.9912822109299362,1.5617871724017385,-1.8909342181398114,1.0,2.29438575175716,0.0,0.55607240396061,-1.2331602417108094,0.48418827106821016,-2.2888133152913785,4.602090059974589,0.6366349411777001
0,0.18000000000000002,5.213365879819012,4.546991810573184,0.3423330814408873,-1.040161274510624,1.5966757116732568,-2.016329325024819,1.0,2.299873770727344,0.0,0.5412767740749896,-1.2235255547126718,0.4688005038471914,-2.29438575175716,3.488853927151844,-0.3761853206550221
0,0.19000000000000003,5.2027500956307575,4.563082330917939,0.3213528953683132,-1.0825149529041185,1.6214283572777728,-2.1797078894900026,1.0,2.305156424806247,0.0,0.5150037911753198,-1.213365879819012,0.4530081894268161,-2.299873770727344,2.475264560451606,-0.4901356933955512
0,0.20000000000000004,5.191740285034614,4.579374378676003,0.30013685441533244,-1.1190038190583356,1.6369811943351311,-2.063500301106143,1.0,2.3101245444906358,0.0,0.47839053488450994,-1.2027500956307575,0.4369176690820611,-2.305156424806247,1.5552837057358317,0.3486227651515783
0,0.21000000000000005,5.1803910654687275,4.595780345902513,0.2810270693889103,-1.150474603146915,1.6442122509668344,-1.758456704178282,1.0,2.3146806379058478,0.0,0.4326455017800587,-1.191740285034614,0.42062562132399695,-2.3101245444906358,0.7231056631703225,0.9151307907835831
