epoch,train_loss,val_loss
0,0.909024,0.125275
1,0.111893,0.100445
2,0.095317,0.095466
3,0.087829,0.093324
4,0.080661,0.088751
5,0.076086,0.082298
6,0.070076,0.079713
7,0.068476,0.085694
8,0.066144,0.084657
9,0.062904,0.074722
10,0.062589,0.079652
11,0.060845,0.075762
12,0.060062,0.079127
13,0.061238,0.080177
14,0.053981,0.078173
15,0.059267,0.068481
16,0.054939,0.069448
17,0.056878,0.073880
18,0.052563,0.064871
19,0.051731,0.070267
20,0.055210,0.077464
21,0.052287,0.080300
22,0.050698,0.068175
23,0.048653,0.063951
24,0.048197,0.071499
25,0.056568,0.066652
26,0.049115,0.064037
27,0.046607,0.077314
28,0.046824,0.070263
29,0.046159,0.070623
30,0.048433,0.056636
31,0.044788,0.063428
32,0.043919,0.074021
33,0.043514,0.064717
34,0.046568,0.060480
35,0.044925,0.061326
36,0.040897,0.065639
37,0.040272,0.057115
38,0.041983,0.061881
39,0.041790,0.068079
40,0.040071,0.066040
41,0.040476,0.061785
42,0.039105,0.062884
43,0.038957,0.074612
44,0.038603,0.054133
45,0.040211,0.062460
46,0.038747,0.053619
47,0.038174,0.051129
48,0.037403,0.057281
49,0.036396,0.054443
50,0.035917,0.070011
51,0.035887,0.055427
52,0.037840,0.057456
53,0.033864,0.054550
54,0.037399,0.048387
55,0.033872,0.061636
56,0.034917,0.049388
57,0.034152,0.046743
58,0.034015,0.046138
59,0.033445,0.055861
60,0.032879,0.054729
61,0.033651,0.047999
62,0.030831,0.047265
63,0.034015,0.049023
64,0.033182,0.042665
65,0.031764,0.052285
66,0.031212,0.050988
67,0.031578,0.044418
68,0.031299,0.053565
69,0.029323,0.049610
70,0.032747,0.044004
71,0.029057,0.048527
72,0.029773,0.047001
73,0.029940,0.038905
74,0.030825,0.040709
75,0.029076,0.052815
76,0.029237,0.041463
77,0.028146,0.055598
78,0.029407,0.051716
79,0.026851,0.047592
80,0.031339,0.041719
81,0.026943,0.042027
82,0.028979,0.041442
83,0.025892,0.048077
84,0.028579,0.044806
85,0.026843,0.038117
86,0.030325,0.040817
87,0.027493,0.048171
88,0.029112,0.039583
89,0.024303,0.040188
90,0.025559,0.039502
91,0.023673,0.038235
92,0.025185,0.051164
93,0.024114,0.040968
94,0.024958,0.038109
95,0.026534,0.048114
96,0.028061,0.043280
97,0.025519,0.043292
98,0.024807,0.035473
99,0.025033,0.049424
